family,pi_conj,backbone_rig,dop_affinity,chain_len,mol_wt,homo_lumo_gap,ioniz_pot,electron_aff,sidechain_pol,crystallinity,charge_mob,disorder,dopant_conc,log_sigma,fp000,fp001,fp002,fp003,fp004,fp005,fp006,fp007,fp008,fp009,fp010,fp011,fp012,fp013,fp014,fp015,fp016,fp017,fp018,fp019,fp020,fp021,fp022,fp023,fp024,fp025,fp026,fp027,fp028,fp029,fp030,fp031,fp032,fp033,fp034,fp035,fp036,fp037,fp038,fp039,fp040,fp041,fp042,fp043,fp044,fp045,fp046,fp047,fp048,fp049,fp050,fp051,fp052,fp053,fp054,fp055,fp056,fp057,fp058,fp059,fp060,fp061,fp062,fp063
Polyaniline,0.8332,0.7149,0.8188,16,2606.5,1.0196,4.4043,3.1465,0.7263,0.4356,0.5579,0.4727,0.1882,7.2321,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
Polythiophene,0.9353,0.7409,0.7936,26,3916.9,1.0593,4.5522,3.3117,0.2435,0.5195,0.7191,0.4151,0.3061,9.1677,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
PEDOT,0.9643,0.8167,0.7138,47,4405.2,0.8512,4.654,3.5308,0.1845,0.65,0.8148,0.3987,0.0535,9.4803,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Polypyrrole,0.9439,0.7727,0.925,63,11786.4,1.0219,4.4228,3.1708,0.3743,0.3063,0.6983,0.6692,0.1319,7.0369,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
Polythiophene,0.8851,0.7957,0.7545,49,4277.8,1.034,4.5644,3.2421,0.6754,0.543,0.5723,0.5705,0.3,8.4699,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
Polypyrrole,0.8329,0.8415,0.7572,16,1714.8,1.1678,4.5053,3.165,0.6423,0.739,0.6145,0.2286,0.1892,7.1495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Polyfluorene,0.7412,0.8182,0.4064,64,8161.2,1.4779,5.0036,3.3205,0.5781,0.5379,0.4588,0.3369,0.1371,4.8393,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Polythiophene,0.9379,0.7905,0.6651,31,3853.2,0.8008,4.7024,3.6919,0.7854,0.5302,0.7435,0.4395,0.1097,8.8028,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
PEDOT,0.9668,0.9119,0.802,25,2284.6,0.6068,4.7846,3.8909,0.711,0.7808,0.6893,0.1961,0.3071,10.6792,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
Polythiophene,0.9813,0.9375,0.8131,54,8245.9,0.6661,4.6599,3.7916,0.4856,0.5874,0.8017,0.3923,0.2963,8.8037,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
Polythiophene,1.0,0.7852,0.7192,66,8046.2,0.8459,4.6734,3.663,0.4411,0.6706,0.8067,0.4735,0.2803,8.5069,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Polyaniline,0.7793,0.6767,0.9819,40,7412.6,1.5935,4.1923,2.3109,0.2582,0.5157,0.3688,0.3946,0.1154,6.9102,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
Polyaniline,0.7471,0.6381,0.8344,78,13124.9,1.239,4.6241,3.1187,0.5669,0.5855,0.4802,0.3783,0.2944,6.6573,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
Polyfluorene,0.7253,1.0,0.4309,74,13123.3,1.0537,5.0826,3.7641,0.663,0.6529,0.4671,0.2071,0.3946,5.1298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Polyaniline,0.8101,0.5568,0.8857,45,8983.4,1.0691,4.5525,3.3051,0.119,0.3384,0.4354,0.7365,0.1809,6.8963,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
Polypyrrole,0.8787,0.8141,0.8486,26,4237.2,1.1398,4.2127,2.7835,0.8621,0.6414,0.569,0.2637,0.3558,8.1366,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Polyfluorene,0.7383,0.9848,0.6,61,10305.5,1.5881,4.7273,2.9371,0.5,0.95,0.372,0.05,0.1145,5.3805,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
Polythiophene,0.9612,0.6578,0.7491,61,7909.6,0.8875,4.6032,3.5591,0.5912,0.4738,0.6914,0.48,0.2873,8.5193,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
PEDOT,0.9807,0.713,0.6867,11,990.2,0.9034,4.7392,3.6042,0.7722,0.5581,0.8008,0.5415,0.3003,9.3536,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
PEDOT,0.8817,0.9429,0.649,23,3054.7,0.95,4.7679,3.5704,0.7594,0.651,0.6484,0.4086,0.0655,9.2799,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Polyaniline,0.7736,0.7549,0.7974,16,2839.0,1.1943,4.5776,3.1077,0.8367,0.5499,0.4854,0.4922,0.107,6.2914,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
Polypyrrole,0.9602,0.7166,0.7291,40,6403.3,0.4474,4.5073,3.8687,0.3529,0.45,0.696,0.6082,0.2415,8.3871,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Polythiophene,0.9165,0.8774,0.7058,59,11677.1,0.7789,4.6474,3.6391,0.5706,0.6639,0.631,0.4385,0.1161,8.3111,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0
Polypyrrole,0.8671,0.6938,0.8374,63,11082.2,0.9211,4.5354,3.4664,0.4234,0.4665,0.6798,0.5001,0.1058,7.8299,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Polythiophene,0.8914,0.8316,0.717,53,8194.2,0.9789,4.7349,3.6994,0.5275,0.5849,0.7318,0.2583,0.0991,8.0755,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Polyaniline,0.753,0.677,0.8627,43,6520.3,1.3537,4.4918,2.8896,0.8884,0.3571,0.4544,0.6878,0.3221,6.5267,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Polypyrrole,0.851,0.8727,0.8567,71,7980.3,1.1542,4.3782,2.9487,0.5764,0.5074,0.5617,0.5658,0.1895,7.3208,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
Polypyrrole,0.8935,0.7352,0.8963,31,4700.4,1.1302,4.5633,3.2799,0.8812,0.5645,0.6221,0.425,0.2591,8.8192,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Polythiophene,0.9732,0.7773,0.8169,53,10336.1,0.6756,4.5128,3.7321,0.8469,0.5418,0.7718,0.4465,0.3251,9.1306,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
Polyaniline,0.8519,0.7731,0.8686,23,4122.5,1.0889,4.2185,2.8698,0.8341,0.5135,0.5755,0.5474,0.1511,7.9482,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Polythiophene,0.8584,0.7001,0.7896,37,3649.4,1.2464,4.2762,2.8697,0.5874,0.5681,0.5121,0.3296,0.351,7.943,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEDOT,0.9142,0.9316,0.5098,9,1630.7,0.9414,5.0428,4.0,0.6961,0.7958,0.6736,0.2124,0.0882,8.7408,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
PEDOT,0.9504,0.8322,0.6484,23,2922.8,1.1199,4.6802,3.3328,0.1759,0.5236,0.6375,0.3507,0.2495,9.1752,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Polycarbazole,0.788,0.9446,0.3059,61,11370.5,1.2176,5.524,4.0,0.6036,0.7803,0.4785,0.3003,0.3095,4.5882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0
Polycarbazole,0.6645,0.7917,0.3756,64,7922.2,1.5313,5.2054,3.4707,0.3572,0.4131,0.4708,0.4639,0.3997,4.0375,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
Polyaniline,0.753,0.6615,0.8851,42,6762.1,1.3685,4.2802,2.7111,0.6226,0.4019,0.5331,0.6313,0.0765,6.856,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Polythiophene,0.8799,0.9413,0.6969,10,1040.2,0.8416,4.5498,3.5859,0.2304,0.561,0.6542,0.3764,0.3759,9.1854,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Polycarbazole,0.7024,0.8481,0.1819,27,3813.8,1.5482,5.3788,3.6766,0.7428,0.64,0.4267,0.3415,0.3433,3.5213,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
Polyfluorene,0.6776,0.917,0.496,69,9628.3,1.8345,4.969,2.858,0.2796,0.7532,0.4165,0.3724,0.053,3.6585,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Polyaniline,0.9022,0.6383,0.8937,24,2861.3,0.8606,4.1547,3.0682,0.1864,0.4167,0.7105,0.6296,0.2582,8.0052,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
Polypyrrole,0.767,0.7991,0.9328,41,4774.7,1.3198,4.3298,2.9018,0.2449,0.3953,0.3791,0.595,0.0654,7.0998,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
Polythiophene,0.9292,0.6842,0.7819,64,6271.7,0.9209,4.3004,3.1731,0.129,0.5427,0.6966,0.2992,0.3912,8.6566,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
PEDOT,0.997,0.8732,0.5507,30,3165.7,0.6407,4.8541,3.9299,0.5639,0.7134,0.6566,0.4252,0.382,9.8483,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Polycarbazole,0.8453,0.8276,0.2666,68,8329.9,0.9871,5.3113,4.0,0.4753,0.6298,0.6786,0.3417,0.3455,4.94,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
Polypyrrole,0.8194,0.6943,0.7939,64,5712.3,1.0045,4.4382,3.179,0.4984,0.6241,0.5636,0.3693,0.089,7.1943,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
Polythiophene,0.9352,0.9149,0.7401,31,3215.2,0.6362,4.5699,3.7047,0.2396,0.5923,0.7007,0.2607,0.2816,9.1216,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
Polythiophene,0.927,0.7206,0.6936,74,8079.1,1.0934,4.4969,3.2514,0.5451,0.5839,0.661,0.3818,0.3749,9.2532,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0
Polyaniline,0.7929,0.6028,0.7852,25,3908.3,1.3982,4.6315,3.0491,0.5382,0.3519,0.5298,0.6075,0.3251,6.9203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Polythiophene,0.9677,0.8365,0.8308,38,3198.3,0.7415,4.295,3.2206,0.6759,0.6823,0.7629,0.342,0.2318,9.275,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
Polyfluorene,0.7468,0.9331,0.3415,60,9859.2,1.3015,5.2855,3.9704,0.6813,0.636,0.5333,0.2705,0.0865,4.1925,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Polyfluorene,0.7898,0.9401,0.5468,74,8694.3,1.2983,4.6787,3.3661,0.153,0.6206,0.4859,0.4459,0.3752,4.9316,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Polyaniline,0.7522,0.5031,0.6816,36,5511.7,1.6633,4.5602,2.6849,0.7776,0.221,0.3928,0.761,0.2401,5.7726,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Polypyrrole,0.8164,0.794,0.8221,68,7299.4,1.2124,4.5516,3.0976,0.2548,0.6617,0.4908,0.4455,0.3061,7.7208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
Polyaniline,0.8625,0.5923,0.9767,67,12464.7,0.7837,4.1901,3.1767,0.6668,0.4714,0.6515,0.4319,0.2278,8.1027,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Polyaniline,0.9256,0.543,0.9325,65,6988.9,1.1548,4.5456,3.2095,0.5485,0.3885,0.6538,0.6332,0.0717,7.5418,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
Polyaniline,0.8648,0.6203,0.8139,67,11278.3,0.9813,4.3918,3.1127,0.1429,0.3932,0.5797,0.6016,0.2119,7.3943,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
PEDOT,0.9615,0.9564,0.6603,26,3764.6,0.5852,4.6197,3.8302,0.7794,0.8116,0.7289,0.163,0.0677,9.6247,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Polypyrrole,0.7731,0.6978,0.8343,9,801.9,1.375,4.4757,2.8081,0.5621,0.5329,0.5196,0.3307,0.0869,7.1858,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PEDOT,0.8977,0.887,0.7259,68,12437.3,0.9352,4.6755,3.5572,0.3294,0.8112,0.5971,0.2752,0.2234,8.733,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Polypyrrole,0.9001,0.6912,0.9305,77,7252.6,1.0559,4.289,2.9701,0.4701,0.531,0.5335,0.3904,0.0834,7.9442,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
Polythiophene,1.0,0.7993,0.7212,69,11060.8,0.8627,4.7482,3.5849,0.2332,0.5109,0.8055,0.5195,0.2959,8.4965,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
PEDOT,1.0,0.9263,0.6094,71,14009.8,0.5529,4.837,4.0,0.4892,0.6779,0.7784,0.3274,0.1395,9.3102,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
PEDOT,1.0,0.8797,0.7154,56,6048.2,0.9431,4.4949,3.2969,0.3405,0.4579,0.7585,0.4891,0.2834,10.1572,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Polyaniline,0.8509,0.5894,0.859,44,3747.7,1.0451,4.2525,2.9452,0.892,0.4099,0.5639,0.6249,0.3568,7.9936,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Polythiophene,0.8576,0.7005,0.7275,9,905.5,0.8523,4.747,3.5224,0.473,0.5989,0.5998,0.3337,0.2315,8.1504,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Polycarbazole,0.6725,0.9035,0.4255,45,4280.7,1.6408,5.0896,3.2219,0.8237,0.7419,0.3646,0.1927,0.3172,4.304,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Polyaniline,0.829,0.5607,0.9075,59,9111.9,0.7326,4.3463,3.3392,0.4358,0.3465,0.5365,0.6977,0.1318,7.1972,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
